id,Project,TeamExp,YearEnd,Length,Effort,Transactions,Enitities,PointsNon Adjust,Adjustment,PointsAdju,Language,Team selections,Team size,DBMSused,Security,DBMS exp,Software tool 
334,334,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
335,335,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
336,336,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
337,337,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
338,338,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
339,339,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
340,340,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
341,341,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
342,342,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
343,343,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
344,344,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
345,345,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
346,346,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
347,347,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
348,348,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
349,349,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
350,350,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
351,351,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
352,352,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
353,353,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
354,354,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
355,355,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
356,356,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
357,357,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
358,358,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
359,359,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
360,360,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
361,361,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
362,362,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
363,363,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
364,364,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
365,365,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
366,366,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
367,367,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
368,368,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
369,369,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
370,370,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
371,371,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
372,372,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
373,373,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
374,374,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
375,375,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
376,376,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
377,377,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
378,378,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
379,379,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
380,380,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
381,381,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
382,382,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
383,383,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
384,384,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
385,385,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
386,386,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
387,387,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
388,388,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
389,389,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
390,390,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
391,391,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
392,392,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
393,393,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
394,394,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
395,395,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
396,396,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
397,397,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
398,398,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
399,399,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
400,400,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
401,401,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
402,402,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
403,403,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
404,404,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
405,405,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
406,406,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
407,407,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
408,408,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
409,409,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
410,410,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
411,411,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
412,412,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
413,413,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
414,414,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
415,415,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
416,416,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
417,417,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
418,418,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
419,419,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
420,420,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
421,421,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
422,422,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
423,423,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
424,424,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
425,425,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
426,426,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
427,427,4,87,15,11361,323,184,507,35,507,2,3,8,1,2,0,3
428,428,3,86,6,1267,42,31,73,27,67,2,3,7,5,2,1,3
429,429,2,87,5,2548,74,43,117,25,105,2,3,5,1,2,0,3
430,430,4,87,10,1155,101,57,158,9,117,2,2,1,5,2,1,2
431,431,4,86,6,546,97,42,139,6,99,3,3,3,2,3,1,1
432,432,3,84,13,2275,134,77,211,13,165,2,3,6,5,4,1,3
433,433,5,86,26,9100,482,227,709,26,645,2,3,5,5,3,1,2
434,434,2,84,6,595,213,73,286,6,203,3,2,8,5,1,1,3
435,435,-1,84,22,3941,139,143,282,22,245,2,3,2,5,3,1,2
436,436,3,86,24,13860,473,182,655,40,688,2,2,8,1,2,1,1
437,437,4,85,12,1400,229,169,398,39,414,3,3,6,1,1,1,1
438,438,3,83,12,2800,227,73,300,34,297,1,3,2,3,3,0,1
439,439,4,82,24,9520,395,193,588,40,617,1,2,5,1,3,1,1
440,440,3,86,12,5880,469,176,645,43,697,3,3,5,3,2,1,1
441,441,4,85,36,23940,886,241,1127,34,1116,1,3,2,1,5,1,1
442,442,4,85,12,5152,253,52,305,34,302,1,3,4,1,4,0,5
443,443,0,86,4,5635,197,124,321,33,315,1,3,4,2,2,1,4
444,444,4,85,1,805,40,60,100,18,83,1,3,3,2,3,1,3
445,445,0,86,5,3829,200,119,319,30,303,1,3,8,2,2,1,1
446,446,0,86,4,2149,140,94,234,24,208,1,3,1,2,2,1,1
447,447,0,86,4,2821,97,89,186,38,192,1,2,2,2,2,1,1
448,448,1,85,9,2569,119,42,161,25,145,2,3,1,2,2,0,1
449,449,2,83,13,3913,186,52,238,25,214,1,2,1,2,2,1,1
450,450,1,85,12,7854,172,88,260,30,247,1,3,5,1,2,1,3
451,451,4,83,4,2422,78,38,116,24,103,1,3,2,2,4,1,1
452,452,1,84,21,4067,167,99,266,24,237,1,3,7,2,2,0,1
453,453,1,84,17,9051,146,112,258,40,271,1,3,4,2,2,1,1
454,454,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
455,455,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
456,456,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
457,457,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
458,458,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
459,459,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
460,460,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
461,461,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
462,462,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
463,463,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
464,464,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
465,465,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
466,466,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
467,467,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
468,468,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
469,469,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
470,470,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
471,471,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
472,472,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
473,473,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
474,474,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
475,475,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
476,476,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
477,477,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
478,478,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
479,479,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
480,480,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
481,481,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
482,482,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
483,483,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
484,484,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
485,485,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
486,486,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
487,487,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
488,488,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
489,489,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
490,490,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
491,491,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
492,492,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
493,493,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
494,494,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
495,495,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
496,496,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
497,497,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
498,498,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
499,499,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
500,500,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
501,501,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
502,502,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
503,503,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
504,504,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
505,505,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
506,506,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
507,507,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
508,508,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
509,509,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
510,510,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
511,511,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
512,512,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
513,513,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
514,514,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
515,515,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
516,516,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
517,517,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
518,518,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
519,519,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
520,520,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
521,521,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
522,522,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
523,523,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
524,524,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
525,525,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
526,526,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
527,527,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
528,528,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
529,529,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
530,530,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
531,531,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
532,532,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
533,533,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
534,534,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
535,535,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
536,536,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
537,537,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
538,538,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
539,539,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
540,540,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
541,541,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
542,542,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
543,543,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
544,544,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
545,545,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
546,546,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
547,547,4,87,15,11361,323,184,507,35,507,2,3,8,1,2,0,3
548,548,3,86,6,1267,42,31,73,27,67,2,3,7,5,2,1,3
549,549,2,87,5,2548,74,43,117,25,105,2,3,5,1,2,0,3
550,550,4,87,10,1155,101,57,158,9,117,2,2,1,5,2,1,2
551,551,4,86,6,546,97,42,139,6,99,3,3,3,2,3,1,1
552,552,3,84,13,2275,134,77,211,13,165,2,3,6,5,4,1,3
553,553,5,86,26,9100,482,227,709,26,645,2,3,5,5,3,1,2
554,554,2,84,6,595,213,73,286,6,203,3,2,8,5,1,1,3
555,555,-1,84,22,3941,139,143,282,22,245,2,3,2,5,3,1,2
556,556,3,86,24,13860,473,182,655,40,688,2,2,8,1,2,1,1
557,557,4,85,12,1400,229,169,398,39,414,3,3,6,1,1,1,1
558,558,3,83,12,2800,227,73,300,34,297,1,3,2,3,3,0,1
559,559,4,82,24,9520,395,193,588,40,617,1,2,5,1,3,1,1
560,560,3,86,12,5880,469,176,645,43,697,3,3,5,3,2,1,1
561,561,4,85,36,23940,886,241,1127,34,1116,1,3,2,1,5,1,1
562,562,4,85,12,5152,253,52,305,34,302,1,3,4,1,4,0,5
563,563,0,86,4,5635,197,124,321,33,315,1,3,4,2,2,1,4
564,564,4,85,1,805,40,60,100,18,83,1,3,3,2,3,1,3
565,565,0,86,5,3829,200,119,319,30,303,1,3,8,2,2,1,1
566,566,0,86,4,2149,140,94,234,24,208,1,3,1,2,2,1,1
567,567,0,86,4,2821,97,89,186,38,192,1,2,2,2,2,1,1
568,568,1,85,9,2569,119,42,161,25,145,2,3,1,2,2,0,1
569,569,2,83,13,3913,186,52,238,25,214,1,2,1,2,2,1,1
570,570,1,85,12,7854,172,88,260,30,247,1,3,5,1,2,1,3
571,571,4,83,4,2422,78,38,116,24,103,1,3,2,2,4,1,1
572,572,1,84,21,4067,167,99,266,24,237,1,3,7,2,2,0,1
573,573,1,84,17,9051,146,112,258,40,271,1,3,4,2,2,1,1
574,574,1,84,3,2282,33,72,105,19,88,1,3,2,2,2,1,1
575,575,4,85,8,4172,162,61,223,32,216,1,3,5,5,2,1,4
576,576,4,85,9,4977,223,121,344,28,320,1,2,6,2,1,0,1
577,577,2,85,8,1617,119,48,167,26,152,2,2,5,1,2,1,2
578,578,3,85,8,3192,57,43,100,43,108,1,3,3,5,2,0,2
579,579,4,86,14,3437,68,316,384,20,326,2,2,3,3,2,1,1
580,580,4,87,14,2149,9,386,395,21,340,2,2,5,1,2,1,1
581,581,4,85,12,2112,253,52,305,34,302,1,2,2,1,2,1,2
582,582,0,86,4,1056,197,124,321,33,315,1,3,3,2,2,0,3
583,583,4,85,1,3168,40,60,100,18,83,1,3,5,1,2,1,2
584,584,0,86,5,5280,200,119,319,30,303,1,3,5,2,1,0,5
585,585,0,86,4,19008,140,94,234,24,208,1,3,7,2,1,0,5
586,586,0,86,4,7392,97,89,186,38,192,1,3,3,2,1,1,1
587,587,1,85,9,5280,119,42,161,25,145,2,3,6,2,1,1,1
588,588,2,83,13,4400,186,52,238,25,214,1,3,6,2,2,0,2
589,589,1,85,12,4224,172,88,260,30,247,1,3,6,2,1,1,1
590,590,4,83,4,6468,78,38,116,24,103,1,3,7,2,1,1,1
591,591,1,84,21,8910,167,99,266,24,237,1,3,6,2,1,1,1
592,592,1,84,17,5280,146,112,258,40,271,1,3,6,3,2,1,1
593,593,1,84,3,880,33,72,105,19,88,1,3,5,1,4,1,2
594,594,4,85,8,1848,162,61,223,32,216,1,2,5,5,2,1,2
595,595,4,85,9,1584,223,121,344,28,320,1,3,9,3,2,1,3
596,596,2,85,8,1320,119,48,167,26,152,2,2,2,1,2,0,5
597,597,3,85,8,880,57,43,100,43,108,1,3,5,2,1,1,5
598,598,4,86,14,264,68,316,384,20,326,2,3,2,2,2,1,2
599,599,4,87,14,2772,9,386,395,21,340,2,3,2,2,2,1,5
600,600,2,86,5,870,58,34,92,29,86,1,3,3,3,2,1,1
601,601,4,85,12,5152,253,52,305,34,302,1,3,6,1,2,0,2
602,602,0,86,4,5635,197,124,321,33,315,1,3,3,1,4,0,5
603,603,4,85,1,805,40,60,100,18,83,1,2,6,1,5,1,1
604,604,0,86,5,3829,200,119,319,30,303,1,2,6,2,3,1,1
605,605,0,86,4,2149,140,94,234,24,208,1,3,9,2,3,1,2
606,606,0,86,4,2821,97,89,186,38,192,1,3,7,3,3,1,1
607,607,1,85,9,2569,119,42,161,25,145,2,3,5,3,3,1,2
608,608,2,83,13,3913,186,52,238,25,214,1,3,5,3,4,0,1
609,609,1,85,12,7854,172,88,260,30,247,1,3,4,3,3,1,1
610,610,4,83,4,2422,78,38,116,24,103,1,3,4,2,2,1,3
611,611,1,84,21,4067,167,99,266,24,237,1,3,7,2,3,1,2
612,612,1,84,17,9051,146,112,258,40,271,1,3,4,3,2,1,4
613,613,1,84,3,2282,33,72,105,19,88,1,1,3,2,2,1,1
614,614,4,85,8,4172,162,61,223,32,216,1,1,5,2,2,1,1
615,615,4,85,9,4977,223,121,344,28,320,1,3,4,2,2,1,2
616,616,2,85,8,1617,119,48,167,26,152,2,1,4,2,2,1,2
617,617,3,85,8,3192,57,43,100,43,108,1,3,4,2,2,1,2
618,618,4,86,14,3437,68,316,384,20,326,2,1,2,2,2,1,2
619,619,4,87,14,4494,9,386,395,21,340,2,3,7,2,2,1,2
620,620,2,86,5,840,58,34,92,29,86,1,1,2,2,5,1,3
621,621,4,86,12,14973,318,269,587,34,581,2,3,8,5,2,1,3
622,622,4,85,18,5180,88,170,258,34,255,1,3,6,2,5,1,5
623,623,4,86,5,5775,306,132,438,37,447,1,3,3,1,2,1,1
624,624,1,87,20,10577,304,78,382,39,397,1,3,6,2,5,1,1
625,625,4,86,8,3983,89,200,289,33,283,1,3,6,2,3,1,1
626,626,1,85,14,3164,86,230,316,33,310,1,3,2,5,4,1,1
627,627,0,86,6,3542,71,235,306,37,312,1,3,4,2,3,0,2
628,628,1,85,14,4277,148,324,472,39,491,1,2,2,2,2,1,3
629,629,4,85,16,7252,116,170,286,27,263,1,2,2,2,3,1,1
630,630,1,85,14,3948,175,277,452,37,461,1,3,2,3,2,1,5
631,631,3,86,6,3927,79,128,207,27,190,1,3,2,3,2,0,3
632,632,1,86,9,710,145,38,183,27,168,3,3,1,3,2,1,1
633,633,4,87,9,2429,174,78,252,41,267,3,2,9,5,2,0,3
634,634,1,85,5,6405,194,91,285,35,285,1,3,3,2,2,0,2
635,635,2,88,3,651,126,49,175,38,180,3,3,3,3,2,0,5
636,636,3,86,17,9135,317,119,436,34,432,2,3,2,1,4,0,5
637,637,4,87,11,1435,289,88,377,28,351,3,2,5,5,3,1,3
638,638,-1,87,8,5922,260,144,404,24,360,1,2,9,5,3,1,2
639,639,4,88,4,847,158,59,217,18,180,3,2,4,5,3,1,2
640,640,3,88,16,8050,302,145,447,52,523,2,3,3,2,2,1,1
641,641,1,87,9,4620,451,48,499,28,464,1,3,5,2,2,0,2
642,642,4,87,34,2352,661,132,793,23,698,3,3,6,2,5,1,2
643,643,1,88,10,2174,64,54,118,25,106,1,3,2,1,2,0,3
644,644,4,86,39,19894,284,230,514,50,591,1,3,4,1,1,0,5
645,645,1,86,18,6699,182,126,308,35,308,1,2,5,2,2,0,2
646,646,3,87,27,14987,173,332,505,19,424,1,3,5,1,3,0,3
647,647,2,88,9,4004,252,7,259,28,241,1,2,3,1,4,0,2
648,648,3,85,11,12824,131,180,311,51,361,1,2,6,5,5,1,2
649,649,3,85,8,2331,106,39,145,6,103,1,2,6,5,4,1,3
650,650,3,85,9,5817,96,108,204,29,192,1,2,6,5,4,1,3
651,651,3,85,7,2989,116,72,188,18,156,1,3,3,5,3,0,1
652,652,3,85,6,3136,86,49,135,32,131,1,3,4,5,3,0,2
653,653,3,85,17,14434,221,121,342,35,342,1,2,6,5,4,1,3
654,654,1,87,12,2583,61,96,157,18,130,1,3,3,3,2,1,3
655,655,3,86,12,3647,132,89,221,5,155,2,3,2,2,2,1,5
656,656,7,86,13,8232,45,387,432,16,350,2,2,5,2,2,1,2
657,657,1,86,12,3276,55,112,167,12,129,2,2,2,3,2,1,5
658,658,4,87,8,2723,124,52,176,14,139,2,3,4,5,3,0,3
659,659,3,87,5,3472,120,126,246,15,197,2,3,4,3,3,0,1
660,660,2,87,6,1575,47,32,79,14,62,2,3,1,3,2,1,3
661,661,1,86,12,2926,126,107,233,23,205,2,2,4,3,2,0,1
662,662,2,86,6,1876,101,45,146,15,117,2,1,1,3,5,0,1
663,663,1,86,5,2520,78,99,177,14,140,1,3,8,5,2,1,1
664,664,7,86,13,1603,69,74,143,14,113,1,3,3,1,2,1,2
665,665,3,86,8,3626,194,97,291,35,291,2,3,6,2,5,1,2
666,666,-1,87,10,6783,224,110,334,28,309,2,3,5,1,2,0,3
